number,volatile acidity,sulphates,alcohol,quality
0,0.7,0.56,9.4,5
1,0.88,0.68,9.8,5
2,0.76,0.65,9.8,5
3,0.28,0.58,9.8,6
4,0.7,0.56,9.4,5
5,0.66,0.56,9.4,5
6,0.6,0.46,9.4,5
7,0.65,0.47,10.0,7
8,0.58,0.57,9.5,7
9,0.5,0.8,10.5,5
10,0.58,0.54,9.2,5
11,0.5,0.8,10.5,5
12,0.615,0.52,9.9,5
13,0.61,1.56,9.1,5
14,0.62,0.88,9.2,5
15,0.62,0.93,9.2,5
16,0.28,0.75,10.5,7
17,0.56,1.28,9.3,5
18,0.59,0.5,9.0,4
19,0.32,1.08,9.2,6
20,0.22,0.53,9.4,6
21,0.39,0.65,9.7,5
22,0.43,0.91,9.5,5
23,0.49,0.53,9.4,5
24,0.4,0.63,9.7,6
25,0.39,0.56,9.3,5
26,0.41,0.59,9.5,5
27,0.43,0.91,9.5,5
28,0.71,0.55,9.4,5
29,0.645,0.59,9.8,6
30,0.675,0.54,10.1,5
31,0.685,0.57,10.6,6
32,0.655,0.66,9.8,5
33,0.605,0.52,9.4,6
34,0.32,0.55,9.2,5
35,0.645,0.55,9.6,6
36,0.6,0.6,10.8,6
37,0.38,0.73,9.7,7
38,1.13,0.48,9.8,4
39,0.45,0.83,10.5,5
40,0.45,0.83,10.5,5
41,0.61,0.51,9.3,4
42,0.49,0.9,10.5,6
43,0.66,1.2,10.3,5
44,0.67,0.52,9.5,5
45,0.52,0.56,13.1,4
46,0.935,0.73,9.2,5
47,0.29,0.58,9.5,5
48,0.4,0.56,9.2,5
49,0.31,0.58,9.2,5
50,0.66,0.74,9.2,5
51,0.52,0.63,9.4,6
52,0.5,0.64,9.4,6
53,0.38,0.56,9.4,5
54,0.51,0.63,10.2,6
55,0.62,0.53,9.5,5
56,0.42,0.63,9.6,5
57,0.63,0.77,9.4,5
58,0.59,0.59,10.0,5
59,0.39,0.54,9.4,6
60,0.4,0.64,9.2,5
61,0.69,0.71,9.3,5
62,0.52,0.62,9.5,7
63,0.735,0.57,9.8,5
64,0.725,0.39,10.9,5
65,0.725,0.39,10.9,5
66,0.52,0.58,9.6,5
67,0.705,0.58,10.7,5
68,0.32,0.79,10.7,5
69,0.705,0.95,10.5,6
70,0.63,0.54,9.5,6
71,0.67,0.48,9.5,5
72,0.69,0.48,9.5,5
73,0.675,0.53,9.2,4
74,0.32,0.82,9.6,5
75,0.41,0.66,10.5,5
76,0.41,0.66,10.5,5
77,0.785,0.55,10.7,6
78,0.75,0.52,10.1,5
79,0.625,1.12,9.1,4
80,0.45,0.56,9.2,5
81,0.43,1.28,9.4,5
82,0.5,0.57,9.1,5
83,0.67,1.14,9.4,5
84,0.3,0.78,10.3,6
85,0.55,0.59,10.1,5
86,0.49,1.95,9.9,6
87,0.49,0.64,9.6,5
88,0.39,1.22,9.5,5
89,0.62,0.53,9.0,5
90,0.52,0.54,9.5,5
91,0.49,1.95,9.9,6
92,0.49,1.98,9.8,5
93,0.49,0.64,9.6,5
94,1.02,0.48,10.5,4
95,0.6,0.6,12.9,6
96,0.775,0.56,10.7,5
97,0.5,0.63,9.2,5
98,0.9,0.56,9.8,5
99,0.545,0.59,9.0,6
100,0.61,0.61,10.2,6
101,0.5,0.56,10.4,6
102,0.545,0.59,9.0,6
