,volatile acidity,residual sugar,density,quality
0,0.27,20.7,1.001,6
1,0.3,1.6,0.9940000000000001,6
2,0.28,6.9,0.9951,6
3,0.23,8.5,0.9956,6
4,0.23,8.5,0.9956,6
5,0.28,6.9,0.9951,6
6,0.32,7.0,0.9949,6
7,0.27,20.7,1.001,6
8,0.3,1.6,0.9940000000000001,6
9,0.22,1.5,0.9938,6
10,0.27,1.45,0.9908,5
11,0.23,4.2,0.9947,5
12,0.18,1.2,0.992,5
13,0.16,1.5,0.9912,7
14,0.42,19.25,1.0002,5
15,0.17,1.5,0.9914,7
16,0.48,1.1,0.9928,6
17,0.66,1.2,0.9892,8
18,0.34,1.1,0.9917,6
19,0.31,7.5,0.9955,5
20,0.66,1.2,0.9892,8
21,0.31,2.9,0.9912,7
22,0.26,1.7,0.993,8
23,0.67,1.5,0.9937,5
24,0.27,1.3,0.9951,6
25,0.25,9.0,0.9955,6
26,0.24,1.0,0.993,6
27,0.28,8.7,0.9961,6
28,0.27,1.1,0.9914,6
29,0.32,2.0,0.9906,7
30,0.24,10.4,0.9974,6
31,0.14,1.1,0.9934,6
32,0.25,2.05,0.992,6
33,0.12,1.5,0.9939,6
34,0.27,14.95,0.9962,5
35,0.28,1.7,0.9905,5
36,0.39,5.4,0.9934,5
37,0.33,1.2,0.9906,6
38,0.24,17.95,0.9999,5
39,0.24,17.95,0.9999,5
40,0.23,2.5,0.9937,6
41,0.24,2.9,0.9937,6
42,0.31,7.4,0.9954,6
43,0.24,1.4,0.9934,6
44,0.23,1.4,0.9934,6
45,0.18,1.4,0.9931,7
46,0.45,4.4,0.9940000000000001,4
47,0.46,4.4,0.9939,5
48,0.31,7.4,0.9954,6
49,0.19,5.0,0.995,5
50,0.19,1.6,0.9917,6
51,0.25,1.1,0.9914,7
52,0.16,1.1,0.991,7
53,0.18,1.0,0.9911,6
54,0.2,0.9,0.993,6
55,0.25,1.3,0.9908,6
56,0.21,11.9,0.9962,6
57,0.19,12.4,0.9972,6
